anno,mese,giorno,capannone,razza,n_galline,uova_prodotte,giorni_in_capannone,n_morte,n_vendute
2022,10,21,3,hiline,4382,3410,475,0,0
2022,10,22,3,hiline,4382,3465,476,0,0
2022,10,23,3,hiline,4381,3310,477,1,0
2022,10,24,3,hiline,4381,3160,478,0,0
2022,10,25,3,hiline,4371,3568,479,0,10
2022,10,26,3,hiline,4370,3408,480,1,0
2022,10,27,3,hiline,4370,3452,481,0,0
2022,10,28,3,hiline,4368,3669,482,2,0
2022,10,29,3,hiline,4366,3087,483,2,0
2022,10,30,3,hiline,4366,3580,484,0,0
2022,10,31,3,hiline,4366,3480,485,0,0
2022,11,1,3,hiline,4366,3210,486,0,0
2022,11,2,3,hiline,4364,3200,487,2,0
2022,11,3,3,hiline,4364,3410.488,0,0
2022,11,4,3,hiline,4364,3085,489,0,0
2022,11,5,3,hiline,4361,3150,490,3,0
2022,11,6,3,hiline,4361,3095,491,0,0
2022,11,7,3,hiline,4361,3355,492,0,0
2022,11,8,3,hiline,4361,3310,493,0,0
2022,11,9,3,hiline,4359,3155,494,2,0
2022,11,10,3,hiline,4359,3030,495,0,0
2022,11,11,3,hiline,4359,3270,496,0,0
2022,11,12,3,hiline,4357,3270,497,2,0
2022,11,13,3,hiline,4357,3155,498,0,0
2022,11,14,3,hiline,4356,3270,499,1,0
2022,11,15,3,hiline,4356,3490,500,0,0
2022,11,16,3,hiline,4354,3145,501,2,0
2022,11,17,3,hiline,4354,3375,502,0,0
2022,11,18,3,hiline,4354,3094,503,0,0
2022,11,19,3,hiline,4354,3236,504,0,0
2022,11,20,3,hiline,4352,3130,505,2,0
2022,11,21,3,hiline,4352,3334,506,0,0
2022,11,22,3,hiline,4352,3104,507,0,0
2022,11,23,3,hiline,4351,3064,508,1,0
2022,11,24,3,hiline,4351,3130,509,0,0
2022,11,25,3,hiline,4351,3310,510,0,0
2022,11,26,3,hiline,4349,3410,511,2,0
2022,11,27,3,hiline,4349,3670,512,0,0
2022,11,28,3,hiline,4349,3185,513,0,0
2022,11,29,3,hiline,4349,3518,514,0,0
2022,11,30,3,hiline,4348,3250,515,1,0
2022,12,1,3,hiline,4348,3480,517,0,0
2022,12,2,3,hiline,4348,3610,518,0,0
2022,12,3,3,hiline,4346,3710,519,2,0
2022,12,4,3,hiline,4346,3280,520,0,0
2022,12,5,3,hiline,4346,3571,521,0,0
2022,12,6,3,hiline,4346,3814,522,0,0
2022,12,7,3,hiline,4345,3519,523,1,0
2022,12,8,3,hiline,4345,3930,524,0,0
2022,12,9,3,hiline,4345,3288,525,0,0
2022,12,10,3,hiline,4344,3684,526,1,0
2022,12,11,3,hiline,4344,3505,527,0,0
2022,12,12,3,hiline,4343,3430,528,1,0
2022,12,13,3,hiline,4342,3637,529,1,0
2022,12,14,3,hiline,4342,3507,530,0,0
2022,12,15,3,hiline,4342,3939,531,0,0
2022,12,16,3,hiline,4340,3471,532,2,0
2022,12,17,3,hiline,4340,3551,533,0,0
2022,12,18,3,hiline,4340,3809,534,0,0
2022,12,19,3,hiline,4339,3278,535,1,0
2022,12,20,3,hiline,4339,3680,536,0,0
2022,12,21,3,hiline,4339,3288,537,0,0
2022,12,22,3,hiline,4339,3400,538,0,0
2022,12,23,3,hiline,4338,3230,539,1,0
2022,12,24,3,hiline,4338,3510,540,0,0
2022,12,25,3,hiline,4337,3450,541,1,0
2022,12,26,3,hiline,4337,3406,542,0,0
2022,12,27,3,hiline,4335,3550,543,2,0
2022,12,28,3,hiline,4335,3170,544,0,0
2022,12,29,3,hiline,4335,3465,545,0,0
2022,12,30,3,hiline,4334,3310,546,1,0
2022,12,31,3,hiline,4334,3200,547,0,0
2023,1,1,3,hiline,4334,3300,548,0,0
2023,1,2,3,hiline,4333,3130,549,1,0
2023,1,3,3,hiline,4333,3187,550,0,0
2023,1,4,3,hiline,4331,3410,551,2,0
2023,1,5,3,hiline,4331,3460,552,0,0
2023,1,6,3,hiline,4330,3285,553,1,0
2023,1,7,3,hiline,4330,3165,554,0,0
2023,1,8,3,hiline,4330,3250,555,0,0
2023,1,9,3,hiline,4329,3143,556,1,0
2023,1,10,3,hiline,4329,3318,557,0,0
2023,1,11,3,hiline,4327,3260,558,2,0
2023,1,12,3,hiline,4327,3590,559,0,0
2023,1,13,3,hiline,4326,3051,560,1,0
2023,1,14,3,hiline,4326,3300,561,0,0
2023,1,15,3,hiline,4326,3088,562,0,0
2023,1,16,3,hiline,4325,3540,563,1,0
2023,1,17,3,hiline,4325,3639,564,0,0
2023,1,18,3,hiline,4324,3880,565,1,0
2023,1,19,3,hiline,4324,3496,566,0,0
2023,1,20,3,hiline,4323,3235,567,1,0
2023,1,21,3,hiline,4323,3488,568,0,0
2023,1,22,3,hiline,4323,3045,569,0,0
2023,1,23,3,hiline,4322,3132,570,1,0
2023,1,24,3,hiline,4322,3180,571,0,0
2023,1,25,3,hiline,4320,3260,572,2,0
2023,1,26,3,hiline,4320,3060,573,0,0
2023,1,27,3,hiline,4317,3305,574,3,0
2023,1,28,3,hiline,4317,3177,575,0,0
2023,1,29,3,hiline,4317,3280,576,0,0
2023,1,30,3,hiline,4316,3108,577,1,0
